"year","day","month"
1800,20,4
1801,5,4
1802,25,4
1803,17,4
1804,6,5
1805,21,4
1806,13,4
1807,26,4
1808,17,4
1809,9,4
1810,29,4
1811,14,4
1812,3,5
1813,25,4
1814,10,4
1815,30,4
1816,21,4
1817,6,4
1818,26,4
1819,18,4
1820,9,4
1821,22,4
1822,14,4
1823,4,5
1824,18,4
1825,10,4
1826,30,4
1827,15,4
1828,6,4
1829,26,4
1830,18,4
1831,1,5
1832,22,4
1833,14,4
1834,4,5
1835,19,4
1836,10,4
1837,30,4
1838,15,4
1839,7,4
1840,26,4
1841,11,4
1842,1,5
1843,23,4
1844,7,4
1845,27,4
1846,19,4
1847,4,4
1848,23,4
1849,15,4
1850,5,5
1851,20,4
1852,11,4
1853,1,5
1854,23,4
1855,8,4
1856,27,4
1857,19,4
1858,4,4
1859,24,4
1860,15,4
1861,5,5
1862,20,4
1863,12,4
1864,1,5
1865,16,4
1866,8,4
1867,28,4
1868,12,4
1869,2,5
1870,24,4
1871,9,4
1872,28,4
1873,20,4
1874,12,4
1875,25,4
1876,16,4
1877,8,4
1878,28,4
1879,13,4
1880,2,5
1881,24,4
1882,9,4
1883,29,4
1884,20,4
1885,5,4
1886,25,4
1887,17,4
1888,6,5
1889,21,4
1890,13,4
1891,3,5
1892,17,4
1893,9,4
1894,29,4
1895,14,4
1896,5,4
1897,25,4
1898,17,4
1899,30,4
1900,22,4
1901,14,4
1902,27,4
1903,19,4
1904,10,4
1905,30,4
1906,15,4
1907,5,5
1908,26,4
1909,11,4
1910,1,5
1911,23,4
1912,7,4
1913,27,4
1914,19,4
1915,4,4
1916,23,4
1917,15,4
1918,5,5
1919,20,4
1920,11,4
1921,1,5
1922,16,4
1923,8,4
1924,27,4
1925,19,4
1926,2,5
1927,24,4
1928,15,4
1929,5,5
1930,20,4
1931,12,4
1932,1,5
1933,16,4
1934,8,4
1935,28,4
1936,12,4
1937,2,5
1938,24,4
1939,9,4
1940,28,4
1941,20,4
1942,5,4
1943,25,4
1944,16,4
1945,6,5
1946,21,4
1947,13,4
1948,2,5
1949,24,4
1950,9,4
1951,29,4
1952,20,4
1953,5,4
1954,25,4
1955,17,4
1956,6,5
1957,21,4
1958,13,4
1959,3,5
1960,17,4
1961,9,4
1962,29,4
1963,14,4
1964,3,5
1965,25,4
1966,10,4
1967,30,4
1968,21,4
1969,13,4
1970,26,4
1971,18,4
1972,9,4
1973,29,4
1974,14,4
1975,4,5
1976,25,4
1977,10,4
1978,30,4
1979,22,4
1980,6,4
1981,26,4
1982,18,4
1983,8,5
1984,22,4
1985,14,4
1986,4,5
1987,19,4
1988,10,4
1989,30,4
1990,15,4
1991,7,4
1992,26,4
1993,18,4
1994,1,5
1995,23,4
1996,14,4
1997,27,4
1998,19,4
1999,11,4
2000,30,4
2001,15,4
2002,5,5
2003,27,4
2004,11,4
2005,1,5
2006,23,4
2007,8,4
2008,27,4
2009,19,4
2010,4,4
2011,24,4
2012,15,4
2013,5,5
2014,20,4
2015,12,4
2016,1,5
2017,16,4
2018,8,4
2019,28,4
2020,19,4
2021,2,5
2022,24,4
2023,16,4
2024,5,5
2025,20,4
2026,12,4
